Facility Name,Facility Name_Bn,District Name,Division Name,District Id,Division Id,Facility Code,Facility Id,Facilitytype Id,Upazila Id
Kurmitola 500 Bed General Hospital,কুর্মিটোলা 500 শয্যা জেনারেল হাসপাতাল,Dhaka,Dhaka,1,1,10017209,16774,22,159
"Mugda 500 Bed General Hospital, Dhaka","মুগদা 500 বেড জেনারেল হাসপাতাল, ঢাকা",Dhaka,Dhaka,1,1,10013720,13562,22,182
Faridpur General Hospital,ফরিদপুর জেনারেল হাসপাতাল,Faridpur,Dhaka,2,1,10000105,101,22,208
Narayanganj 300 Bed Hospital,নারায়ণগঞ্জ 300 শয্যা হাসপাতাল,Narayanganj,Dhaka,11,1,10000425,420,22,276
Narayanganj General (Victoria) Hospital,নারায়ণগঞ্জ জেনারেল (ভিক্টোরিয়া) হাসপাতাল,Narayanganj,Dhaka,11,1,10000427,422,22,276
Gopalganj 250 bed General Hospital,গোপালগঞ্জ 250 শয্যা জেনারেল হাসপাতাল,Gopalganj,Dhaka,4,1,10002233,2216,23,218
Kishoreganj 250 Bed District Sadar Hospital,কিশোরগঞ্জ 250 শয্যা জেলা সদর হাসপাতাল,Kishorgonj,Dhaka,6,1,10000243,238,23,237
Manikganj 250 Bed District Hospital,মানিকগঞ্জ 250 শয্যা জেলা হাসপাতাল,Manikganj,Dhaka,8,1,10000297,292,23,250
Tangail 250 Bed District Hospital,টাঙ্গাইল 250 শয্যা জেলা হাসপাতাল,Tangail,Dhaka,17,1,10000647,642,23,321
"Shaheed Ahsan Ullah Master General Hospital, Tongi, Gazipur","শহীদ আহসান উল্লাহ মাস্টার জেনারেল হাসপাতাল, টঙ্গী, গাজীপুর",Gazipur,Dhaka,3,1,10000129,125,24,213
Kamrangirchar 31 Bed Hospital,কামরাঙ্গীরচর 31 শয্যা হাসপাতাল,Dhaka,Dhaka,1,1,10024298,23886,25,179
Madaripur District Hospital,মাদারীপুর জেলা হাসপাতাল,Madaripur,Dhaka,7,1,10000263,258,28,244
Munshiganj District Hospital,মুন্সীগঞ্জ জেলা হাসপাতাল,Munshiganj,Dhaka,9,1,10000328,323,28,256
Narsingdi District Hospital,নরসিংদী জেলা হাসপাতাল,Narsingdi,Dhaka,12,1,10000452,447,28,280
Rajbari District Hospital,রাজবাড়ী জেলা হাসপাতাল,Rajbari,Dhaka,14,1,10000536,531,28,298
Shariatpur District Hospital,শরীয়তপুর জেলা হাসপাতাল,Shariatpur,Dhaka,15,1,10000559,554,28,303
Dhamrai Upazila Health Complex,ধামরাই উপজেলা স্বাস্থ্য কমপ্লেক্স,Dhaka,Dhaka,1,1,10000064,60,29,164
Dohar Upazila Health Complex,দোহার উপজেলা স্বাস্থ্য কমপ্লেক্স,Dhaka,Dhaka,1,1,10000069,65,29,165
Keraniganj Upazila Health Complex,কেরানীগঞ্জ উপজেলা স্বাস্থ্য কমপ্লেক্স,Dhaka,Dhaka,1,1,10000074,70,29,177
Nawabganj Upazila Health Complex,নবাবগঞ্জ উপজেলা স্বাস্থ্য কমপ্লেক্স,Dhaka,Dhaka,1,1,10000080,76,29,183
Savar Upazila Health Complex,সাভার উপজেলা স্বাস্থ্য কমপ্লেক্স,Dhaka,Dhaka,1,1,10000083,79,29,190
Alfadanga Upazila Health Complex,আলফাডাঙ্গা উপজেলা স্বাস্থ্য কমপ্লেক্স,Faridpur,Dhaka,2,1,10000085,81,29,204
Bhanga Upazila Health Complex,ভাঙ্গা উপজেলা স্বাস্থ্য কমপ্লেক্স,Faridpur,Dhaka,2,1,10000089,85,29,205
Boalmari Upazila Health Complex,বোয়ালমারী উপজেলা স্বাস্থ্য কমপ্লেক্স,Faridpur,Dhaka,2,1,10000095,91,29,206
Charbhadrason Upazila Health Complex,চরভদ্রাসন উপজেলা স্বাস্থ্য কমপ্লেক্স,Faridpur,Dhaka,2,1,10000098,94,29,207
Modhukhali Upazila Health Complex,মধুখালী উপজেলা স্বাস্থ্য কমপ্লেক্স,Faridpur,Dhaka,2,1,10000113,109,29,209
Nagarkanda Upazila Health Complex,নাগরকান্দা উপজেলা স্বাস্থ্য কমপ্লেক্স,Faridpur,Dhaka,2,1,10000120,116,29,210
Sadarpur Upazila Health Complex,সদরপুর উপজেলা স্বাস্থ্য কমপ্লেক্স,Faridpur,Dhaka,2,1,10000128,124,29,211
Kaliakair Upazila Health Complex,কালিয়াকৈর উপজেলা স্বাস্থ্য কমপ্লেক্স,Gazipur,Dhaka,3,1,10000141,137,29,214
Kaliganj Upazila Health Complex,কালীগঞ্জ উপজেলা স্বাস্থ্য কমপ্লেক্স,Gazipur,Dhaka,3,1,10000144,140,29,215
Kapasia Upazila Health Complex,কাপাসিয়া উপজেলা স্বাস্থ্য কমপ্লেক্স,Gazipur,Dhaka,3,1,10000146,142,29,216
Sreepur Upazila Health Complex,শ্রীপুর উপজেলা স্বাস্থ্য কমপ্লেক্স,Gazipur,Dhaka,3,1,10000151,147,29,217
Kashiani Upazila Health Complex,কাশিয়ানী উপজেলা স্বাস্থ্য কমপ্লেক্স,Gopalganj,Dhaka,4,1,10000167,162,29,219
Kotwalipara Upazila Health Complex,কোতোয়ালীপাড়া উপজেলা স্বাস্থ্য কমপ্লেক্স,Gopalganj,Dhaka,4,1,10000173,168,29,220
Mukshedpur Upazila Health Complex,মুকশেদপুর উপজেলা স্বাস্থ্য কমপ্লেক্স,Gopalganj,Dhaka,4,1,10000181,176,29,221
Tungipara Upazila Health Complex,টুঙ্গিপাড়া উপজেলা স্বাস্থ্য কমপ্লেক্স,Gopalganj,Dhaka,4,1,10000182,177,29,222
Austagram Upazila Health Complex,অষ্টগ্রাম উপজেলা স্বাস্থ্য কমপ্লেক্স,Kishorgonj,Dhaka,6,1,10000223,218,29,230
Bajitpur Upazila Health Complex,বাজিতপুর উপজেলা স্বাস্থ্য কমপ্লেক্স,Kishorgonj,Dhaka,6,1,10000227,222,29,231
Bhairab Upazila Health Complex,ভৈরব উপজেলা স্বাস্থ্য কমপ্লেক্স,Kishorgonj,Dhaka,6,1,10000230,225,29,232
Hossainpur Upazila Health Complex,হোসেনপুর উপজেলা স্বাস্থ্য কমপ্লেক্স,Kishorgonj,Dhaka,6,1,10000232,227,29,233
Itna Upazila Health Complex,ইটনা উপজেলা স্বাস্থ্য কমপ্লেক্স,Kishorgonj,Dhaka,6,1,10000234,229,29,234
Karimganj Upazila Health Complex,করিমগঞ্জ উপজেলা স্বাস্থ্য কমপ্লেক্স,Kishorgonj,Dhaka,6,1,10000236,231,29,235
Katiadi Upazila Health Complex,কটিয়াদী উপজেলা স্বাস্থ্য কমপ্লেক্স,Kishorgonj,Dhaka,6,1,10000241,236,29,236
Kuliarchar Upazila Health Complex,কুলিয়ারচর উপজেলা স্বাস্থ্য কমপ্লেক্স,Kishorgonj,Dhaka,6,1,10000246,241,29,238
Mithamoin Upazila Health Complex,মিঠামইন উপজেলা স্বাস্থ্য কমপ্লেক্স,Kishorgonj,Dhaka,6,1,10000249,244,29,239
Nikli Upazila Health Complex,নিকলী উপজেলা স্বাস্থ্য কমপ্লেক্স,Kishorgonj,Dhaka,6,1,10000250,245,29,240
Pakundia Upazila Health Complex,পাকুন্দিয়া উপজেলা স্বাস্থ্য কমপ্লেক্স,Kishorgonj,Dhaka,6,1,10000252,247,29,241
Tarail Upazila Health Complex,তাড়াইল উপজেলা স্বাস্থ্য কমপ্লেক্স,Kishorgonj,Dhaka,6,1,10000253,248,29,242
Kalkini Upazila Health Complex,কালকিনী উপজেলা স্বাস্থ্য কমপ্লেক্স,Madaripur,Dhaka,7,1,10000258,253,29,243
Rajoir Upazila Health Complex,রাজৈর উপজেলা স্বাস্থ্য কমপ্লেক্স,Madaripur,Dhaka,7,1,10000270,265,29,245
Shibchar Upazila Health Complex,শিবচর উপজেলা স্বাস্থ্য কমপ্লেক্স,Madaripur,Dhaka,7,1,10000274,269,29,246
Daulatpur Upazila Health Complex,দৌলতপুর উপজেলা স্বাস্থ্য কমপ্লেক্স,Manikganj,Dhaka,8,1,10000277,272,29,247
Ghior Upazila Health Complex,ঘিওর উপজেলা স্বাস্থ্য কমপ্লেক্স,Manikganj,Dhaka,8,1,10000281,276,29,248
Harirampur Upazila Health Complex,হরিরামপুর উপজেলা স্বাস্থ্য কমপ্লেক্স,Manikganj,Dhaka,8,1,10000288,283,29,249
Saturia Upazila Health Complex,সাটুরিয়া উপজেলা স্বাস্থ্য কমপ্লেক্স,Manikganj,Dhaka,8,1,10000303,298,29,251
Shibalaya Upazila Health Complex,শিবলয়া উপজেলা স্বাস্থ্য কমপ্লেক্স,Manikganj,Dhaka,8,1,10000307,302,29,252
Singair Upazila Health Complex,সিঙ্গাইর উপজেলা স্বাস্থ্য কমপ্লেক্স,Manikganj,Dhaka,8,1,10000312,307,29,253
Gazaria Upazila Health Complex,গজারিয়া উপজেলা স্বাস্থ্য কমপ্লেক্স,Munshiganj,Dhaka,9,1,10000317,312,29,254
Louhajang Upazila Health Complex,লৌহজং উপজেলা স্বাস্থ্য কমপ্লেক্স,Munshiganj,Dhaka,9,1,10000323,318,29,255
Serajdikhan Upazila Health Complex,সিরাজদিখান উপজেলা স্বাস্থ্য কমপ্লেক্স,Munshiganj,Dhaka,9,1,10000333,328,29,257
Sreenagar Upazila Health Complex,শ্রীনগর উপজেলা স্বাস্থ্য কমপ্লেক্স,Munshiganj,Dhaka,9,1,10000341,336,29,258
Tungibari Upazila Health Complex,টুঙ্গিবাড়ী উপজেলা স্বাস্থ্য কমপ্লেক্স,Munshiganj,Dhaka,9,1,10000347,342,29,259
Araihazar Upazila Health Complex,আড়াইহাজার উপজেলা স্বাস্থ্য কমপ্লেক্স,Narayanganj,Dhaka,11,1,10000415,410,29,273
Bandar Upazila Health Complex,বন্দর উপজেলা স্বাস্থ্য কমপ্লেক্স,Narayanganj,Dhaka,11,1,10000420,415,29,275
Rupganj Upazila Health Complex,রূপগঞ্জ উপজেলা স্বাস্থ্য কমপ্লেক্স,Narayanganj,Dhaka,11,1,10000430,425,29,277
Sonargaon Upazila Health Complex,সোনারগাঁ উপজেলা স্বাস্থ্য কমপ্লেক্স,Narayanganj,Dhaka,11,1,10000435,430,29,274
Belabo Upazila Health Complex,বেলাবো উপজেলা স্বাস্থ্য কমপ্লেক্স,Narsingdi,Dhaka,12,1,10000436,431,29,278
Monohardi Upazila Health Complex,মনোহরদী উপজেলা স্বাস্থ্য কমপ্লেক্স,Narsingdi,Dhaka,12,1,10000443,438,29,279
Palash Upazila Health Complex,পলাশ উপজেলা স্বাস্থ্য কমপ্লেক্স,Narsingdi,Dhaka,12,1,10000456,451,29,281
Raipura Upazila Health Complex,রায়পুরা উপজেলা স্বাস্থ্য কমপ্লেক্স,Narsingdi,Dhaka,12,1,10000458,453,29,282
Shibpur Upazila Health Complex,শিবপুর উপজেলা স্বাস্থ্য কমপ্লেক্স,Narsingdi,Dhaka,12,1,10000461,456,29,283
Baliakandi Upazila Health Complex,বালিয়াকান্দি উপজেলা স্বাস্থ্য কমপ্লেক্স,Rajbari,Dhaka,14,1,10000505,500,29,294
Goalanda Upazila Health Complex,গোয়ালন্দ উপজেলা স্বাস্থ্য কমপ্লেক্স,Rajbari,Dhaka,14,1,10000508,503,29,295
Kalukhali Upazila Health Complex,কালুখালী উপজেলা স্বাস্থ্য কমপ্লেক্স,Rajbari,Dhaka,14,1,10000511,506,29,296
Pangsha Upazila Health Complex,পাংশা উপজেলা স্বাস্থ্য কমপ্লেক্স,Rajbari,Dhaka,14,1,10000518,513,29,297
Bhedarganj Upazila Health Complex,ভেদরগঞ্জ উপজেলা স্বাস্থ্য কমপ্লেক্স,Shariatpur,Dhaka,15,1,10000541,536,29,299
Damudya Upazila Health Complex,দামুড়িয়া উপজেলা স্বাস্থ্য কমপ্লেক্স,Shariatpur,Dhaka,15,1,10000544,539,29,300
Goshairhat Upazila Health Complex,গোশায়রহাট উপজেলা স্বাস্থ্য কমপ্লেক্স,Shariatpur,Dhaka,15,1,10000546,541,29,301
Naria Upazila Health Complex,নড়িয়া উপজেলা স্বাস্থ্য কমপ্লেক্স,Shariatpur,Dhaka,15,1,10000551,546,29,302
Zanjira Upazila Health Complex,জাঞ্জিরা উপজেলা স্বাস্থ্য কমপ্লেক্স,Shariatpur,Dhaka,15,1,10000563,558,29,304
Basail Upazila Health Complex,বাসাইল উপজেলা স্বাস্থ্য কমপ্লেক্স,Tangail,Dhaka,17,1,10000581,576,29,310
Bhuapur Upazila Health Complex,ভূঞাপুর উপজেলা স্বাস্থ্য কমপ্লেক্স,Tangail,Dhaka,17,1,10000586,581,29,311
Delduar Upazila Health Complex,দেলদুয়ার উপজেলা স্বাস্থ্য কমপ্লেক্স,Tangail,Dhaka,17,1,10000591,586,29,312
Dhanbari Upazila Health Complex,ধানবাড়ী উপজেলা স্বাস্থ্য কমপ্লেক্স,Tangail,Dhaka,17,1,10000595,590,29,313
Ghatail Upazila Health Complex,ঘাটাইল উপজেলা স্বাস্থ্য কমপ্লেক্স,Tangail,Dhaka,17,1,10000601,596,29,314
Gopalpur Upazila Health Complex,গোপালপুর উপজেলা স্বাস্থ্য কমপ্লেক্স,Tangail,Dhaka,17,1,10000607,602,29,315
Kalihati Upazila Health Complex,কালিহাতী উপজেলা স্বাস্থ্য কমপ্লেক্স,Tangail,Dhaka,17,1,10000613,608,29,316
Modhupur Upazila Health Complex,মধুপুর উপজেলা স্বাস্থ্য কমপ্লেক্স,Tangail,Dhaka,17,1,10000629,624,29,317
Mirzapur Upazila Health Complex,মির্জাপুর উপজেলা স্বাস্থ্য কমপ্লেক্স,Tangail,Dhaka,17,1,10000619,614,29,318
Nagarpur Upazila Health Complex,নাগরপুর উপজেলা স্বাস্থ্য কমপ্লেক্স,Tangail,Dhaka,17,1,10000634,629,29,319
Sakhipur Upazila Health Complex,সখীপুর উপজেলা স্বাস্থ্য কমপ্লেক্স,Tangail,Dhaka,17,1,10000640,635,29,320
Bangladesh Secretariat Clinic,বাংলাদেশ সচিবালয় ক্লিনিক,Dhaka,Dhaka,1,1,10000020,20,50,186
"Tejgaon Health Complex, Dhaka","তেজগাঁও স্বাস্থ্য কমপ্লেক্স, ঢাকা",Dhaka,Dhaka,1,1,10000057,53,61,197
National Institute Of Cancer Research And Hospital (NICR&H),ন্যাশনাল ইনস্টিটিউট অফ ক্যান্সার রিসার্চ অ্যান্ড হসপিটাল (এনআইসিআর অ্যান্ড এইচ),Dhaka,Dhaka,1,1,10000006,6,2,158
National Institute Of Cardiovascular Disease (NICVD),ন্যাশনাল ইনস্টিটিউট অব কার্ডিওভাসকুলার ডিজিজ (এনআইসিভিডি),Dhaka,Dhaka,1,1,10000007,7,2,195
Sheikh Fazilatunnessa Mujib Eye Hospital And Training Institute,শেখ ফজিলাতুন্নেছা মুজিব চক্ষু হাসপাতাল ও প্রশিক্ষণ ইনস্টিটিউট,Gopalganj,Dhaka,4,1,10019224,18794,19,218
National Institute of Traumatology and Orthopaedic Rehabilitation (NITOR),ন্যাশনাল ইনস্টিটিউট অব ট্রমাটোলজি অ্যান্ড অর্থোপেডিক রিহ্যাবিলিটেশন (এনআইটিওআর),Dhaka,Dhaka,1,1,10000013,13,2,195
National Institute of Neuro Sciences & Hospital (NINS & H),ন্যাশনাল ইন্সটিটিউট অফ নিউরো সায়েন্সেস অ্যান্ড হসপিটাল (এনআইএনএস অ্যান্ড এইচ),Dhaka,Dhaka,1,1,10017210,16775,2,195
Institute of Public Health (IPH),ইনস্টিটিউট অব পাবলিক হেলথ (আইপিএইচ),Dhaka,Dhaka,1,1,10000004,4,10,158
National Asthma Center,জাতীয় হাঁপানি কেন্দ্র,Dhaka,Dhaka,1,1,10000024,22,21,169
"250 bed TB Hospital (National TB Control Project), Shaymoly","250 শয্যা টিবি হাসপাতাল (জাতীয় টিবি নিয়ন্ত্রণ প্রকল্প), শায়মলি",Dhaka,Dhaka,1,1,10000054,50,34,195
National Institute of Preventive and Social Medicine (NIPSOM),ন্যাশনাল ইনস্টিটিউট অব প্রিভেন্টিভ অ্যান্ড সোশ্যাল মেডিসিন (এনআইপিএসওএম),Dhaka,Dhaka,1,1,10000012,12,10,158
Institute Of Public Health Nutrition (IPHN),ইনস্টিটিউট অব পাবলিক হেলথ নিউট্রিশন (আইপিএইচএন),Dhaka,Dhaka,1,1,10000005,5,10,158
Dhaka Civil Surgeon Office,ঢাকা সিভিল সার্জন অফিস,Dhaka,Dhaka,1,1,10000025,23,50,179
Faridpur Civil Surgeon Office,ফরিদপুর সিভিল সার্জন অফিস,Faridpur,Dhaka,2,1,10000104,100,50,208
Gazipur Civil Surgeon Office,গাজীপুর সিভিল সার্জন অফিস,Gazipur,Dhaka,3,1,10000136,132,50,213
Gopalganj Civil Surgeon Office,গোপালগঞ্জ সিভিল সার্জন অফিস,Gopalganj,Dhaka,4,1,10000160,155,50,218
Kishoreganj Civil Surgeon Office,কিশোরগঞ্জ সিভিল সার্জন অফিস,Kishorgonj,Dhaka,6,1,10000244,239,50,237
Madaripur Civil Surgeon Office,মাদারীপুর সিভিল সার্জন অফিস,Madaripur,Dhaka,7,1,10000262,257,50,244
Manikganj Civil Surgeon Office,মানিকগঞ্জ সিভিল সার্জন অফিস,Manikganj,Dhaka,8,1,10000296,291,50,250
Munshiganj Civil Surgeon Office,মুন্সীগঞ্জ সিভিল সার্জন অফিস,Munshiganj,Dhaka,9,1,10000327,322,50,256
Narayanganj Civil Surgeon Office,নারায়ণগঞ্জ সিভিল সার্জন অফিস,Narayanganj,Dhaka,11,1,10000426,421,50,276
Narsingdi Civil Surgeon Office,নরসিংদী সিভিল সার্জন অফিস,Narsingdi,Dhaka,12,1,10000451,446,50,280
Rajbari Civil Surgeon Office,রাজবাড়ী সিভিল সার্জন অফিস,Rajbari,Dhaka,14,1,10000535,530,50,298
Shariatpur Civil Surgeon Office,শরীয়তপুর সিভিল সার্জন অফিস,Shariatpur,Dhaka,15,1,10000558,553,50,303
Tangail Civil Surgeon Office,টাঙ্গাইল সিভিল সার্জন অফিস,Tangail,Dhaka,17,1,10000648,643,50,321
"National Health Library And Document Center-Dhaka, Mohakhali","জাতীয় স্বাস্থ্য গ্রন্থাগার ও ডকুমেন্ট সেন্টার- ঢাকা, মহাখালী",Dhaka,Dhaka,1,1,10002302,2246,52,158
National Institute of Kidney Disease and Urology (NIKDU),ন্যাশনাল ইনস্টিটিউট অব কিডনি ডিজিজ অ্যান্ড ইউরোলজি (এনআইকেডিইউ),Dhaka,Dhaka,1,1,10000009,9,2,195
National Institute Of Mental Health (NIMH),ন্যাশনাল ইনস্টিটিউট অব মেন্টাল হেলথ (এনআইএমএইচ),Dhaka,Dhaka,1,1,10000010,10,2,195
Dhaka Medical College,ঢাকা মেডিকেল কলেজ,Dhaka,Dhaka,1,1,10000032,30,4,193
"Shaheed Taj Uddin Ahmad Medical College, Gazipur","শহীদ তাজ উদ্দিন আহমদ মেডিকেল কলেজ, গাজীপুর",Gazipur,Dhaka,3,1,10017196,16761,4,213
Shahid Syed Nazrul Islam Medical College,শহীদ সৈয়দ নজরুল ইসলাম মেডিকেল কলেজ,Kishorgonj,Dhaka,6,1,10002296,2241,4,237
Govt. Unani & Ayurvedic Medical College Hospital,সরকারি ইউনানি ও আয়ুর্বেদিক মেডিকেল কলেজ হাসপাতাল,Tangail,Dhaka,17,1,10002305,2249,9,319
Center For Medical Education,সেন্টার ফর মেডিক্যাল এডুকেশন,Dhaka,Dhaka,1,1,10000026,24,10,158
"Sheikh Hasina National Burn and Plastic Surgery Institute, Dhaka","শেখ হাসিনা ন্যাশনাল বার্ন অ্যান্ড প্লাস্টিক সার্জারি ইনস্টিটিউট, ঢাকা",Dhaka,Dhaka,1,1,10025001,24589,19,193
National Center For Control Of Rheumatic Fever & Heart Disease,ন্যাশনাল সেন্টার ফর কন্ট্রোল অফ রিউম্যাটিক ফিভার অ্যান্ড হার্ট ডিজিজ,Dhaka,Dhaka,1,1,10000014,14,21,195
Narsingdi 100 Bed Zilla Hospital,নরসিংদী 100 শয্যা জেলা হাসপাতাল,Narsingdi,Dhaka,12,1,10000453,448,28,280
"Expanded Program on Immunization (EPI), Mohakhali","সম্প্রসারিত টিকাদান কর্মসূচি (ইপিআই), মহাখালী",Dhaka,Dhaka,1,1,10023548,23136,47,158
National Institute of Diseases of the Chest & Hospital (NIDCH),ন্যাশনাল ইনস্টিটিউট অফ ডিজিজ অফ দ্য চেস্ট অ্যান্ড হসপিটাল (এনআইডিসিএইচ),Dhaka,Dhaka,1,1,10000008,8,2,169
National Institute of ENT,ন্যাশনাল ইনস্টিটিউট অফ ইএনটি,Dhaka,Dhaka,1,1,10017208,16773,2,198
"Institute of Epidemiology, Disease Control & Research (IEDCR)","ইন্সটিটিউট অফ এপিডেমিওলজি, ডিজিজ কন্ট্রোল অ্যান্ড রিসার্চ (আইইডিসিআর)",Dhaka,Dhaka,1,1,10000003,3,10,158
Dhaka Institute Of Health Technology,ঢাকা ইনস্টিটিউট অব হেলথ টেকনোলজি,Dhaka,Dhaka,1,1,10000030,28,15,158
100 bed Burn Unit at DMCH,ডিএমসিএইচ-এ 100 শয্যা বার্ন ইউনিট,Dhaka,Dhaka,1,1,10017207,16772,19,193
Govt. Homeopathic Medical College,সরকারি হোমিওপ্যাথিক মেডিকেল কলেজ,Dhaka,Dhaka,1,1,10000029,27,8,166
Govt. Unani & Ayurvedic Medical College,সরকারি ইউনানি ও আয়ুর্বেদিক মেডিকেল কলেজ,Dhaka,Dhaka,1,1,10019215,18783,8,171
Faridpur Medical Assistants' Training School (MATS),ফরিদপুর মেডিকেল অ্যাসিস্ট্যান্টস ট্রেনিং স্কুল (ম্যাটস),Faridpur,Dhaka,2,1,10000106,102,16,208
Tangail Medical Assistants' Training School (MATS),টাঙ্গাইল মেডিকেল অ্যাসিস্ট্যান্টস ট্রেনিং স্কুল (ম্যাটস),Tangail,Dhaka,17,1,10000649,644,16,321
Tb Control And Training Institute,যক্ষ্মা নিয়ন্ত্রণ ও প্রশিক্ষণ ইনস্টিটিউট,Dhaka,Dhaka,1,1,10000058,54,34,193
Govt. Homeopathic Medical College Hospital,সরকারি হোমিওপ্যাথিক মেডিকেল কলেজ হাসপাতাল,Dhaka,Dhaka,1,1,10019120,18687,9,166
Dhaka Infectious Disease Hospital,ঢাকা সংক্রামক রোগ হাসপাতাল,Dhaka,Dhaka,1,1,10000070,66,33,169
Dhaka Leprosy Hospital,ঢাকা কুষ্ঠ হাসপাতাল,Dhaka,Dhaka,1,1,10000031,29,35,169
Dhaka Airport Health Office,ঢাকা বিমানবন্দর স্বাস্থ্য অফিস,Dhaka,Dhaka,1,1,10002236,2219,59,157
Kreshnanagar 20 bed Hospital,ক্রেশনানগর 20 শয্যা হাসপাতাল,Dhaka,Dhaka,1,1,10017199,16764,26,164
Jinjira 20 bed Hospital,জিনজিরা 20 শয্যা হাসপাতাল,Dhaka,Dhaka,1,1,10000073,69,26,177
Aminbazar 20 bed Hospital,আমিনবাজার 20 শয্যা হাসপাতাল,Dhaka,Dhaka,1,1,10017200,16765,26,190
Kabirajpur 20 bed Hospital,কবিরাজপুর 20 শয্যা হাসপাতাল,Madaripur,Dhaka,7,1,10024550,24138,26,245
Monohargram 20 bed Hospital,মনোহরগ্রাম 20 শয্যা হাসপাতাল,Narayanganj,Dhaka,11,1,10000416,411,26,273
Fatullah 20 bed Hospital,ফতুল্লাহ 20 শয্যা হাসপাতাল,Narayanganj,Dhaka,11,1,10000421,416,26,276
Siddirganj 20 bed Hospital,সিদ্দিরগঞ্জ 20 শয্যা হাসপাতাল,Narayanganj,Dhaka,11,1,10000423,418,26,276
Tarabunia 20 bed Hospital,তারাবুনিয়া 20 শয্যা হাসপাতাল,Shariatpur,Dhaka,15,1,10024551,24139,26,299
Kodalpur 20 bed Hospital,কোদালপুর 20 শয্যা হাসপাতাল,Shariatpur,Dhaka,15,1,10000547,542,26,301
Faridpur Chest Disease Clinic,ফরিদপুর চেস্ট ডিজিজ ক্লিনিক,Faridpur,Dhaka,2,1,10000110,106,56,208
Gopalganj Chest Disease Clinic,গোপালগঞ্জ চেস্ট ডিজিজ ক্লিনিক,Gopalganj,Dhaka,4,1,10000161,156,56,218
Kishoreganj Chest Disease Clinic,কিশোরগঞ্জ বক্ষ রোগ ক্লিনিক,Kishorgonj,Dhaka,6,1,10000245,240,56,237
Madaripur Chest Disease Clinic,মাদারীপুর চেস্ট ডিজিজ ক্লিনিক,Madaripur,Dhaka,7,1,10000264,259,56,244
Munshiganj Chest Disease Clinic,মুন্সীগঞ্জ চেস্ট ডিজিজ ক্লিনিক,Munshiganj,Dhaka,9,1,10000329,324,56,256
Tangail Chest Disease Clinic,টাঙ্গাইল বুকের রোগ ক্লিনিক,Tangail,Dhaka,17,1,10000651,646,56,321
Faridpur Trauma Center,ফরিদপুর ট্রমা সেন্টার,Faridpur,Dhaka,2,1,10000112,108,36,208
Faridpur (sadar) Upazila Health Office,ফরিদপুর (সদর) উপজেলা স্বাস্থ্য অফিস,Faridpur,Dhaka,2,1,10000103,99,51,208
Gazipur (sadar) Upazila Health Office,গাজীপুর (সদর) উপজেলা স্বাস্থ্য অফিস,Gazipur,Dhaka,3,1,10000134,130,51,213
Gopalganj (sadar) Upazila Health Office,গোপালগঞ্জ (সদর) উপজেলা স্বাস্থ্য অফিস,Gopalganj,Dhaka,4,1,10000155,151,51,218
