Id,Name,Name (Bangla),Code,Email,Agency,Type,Division,,District,,City Corporation,,Upazila,,Paurasava,Union,Private
1945,Mohanganj(chandpasha) Union Health Sub Center,মোহনগঞ্জ(চাঁদপাশা) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001954,mohanganj_chandpasha@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Barishal,বরিশাল,Barishal,বরিশাল,Barishal N/A,,Babuganj,,Unions Of Babuganj Upazila,Chandpasha,No
23178,Jahapur Union Health Sub Center.,জাহাপুর ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র।,10023590,Jahapur_bdurganj@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Barishal,বরিশাল,Barishal,বরিশাল,Barishal N/A,,Babuganj,,Unions Of Babuganj Upazila,Jahangir Nagar(agarpur),No
1954,Bakerganj Upazila Health Complex,বাকেরগঞ্জ উপজেলা স্বাস্থ্য কমপ্লেক্স,10001963,bakerganj@uhfpo.dghs.gov.bd,DGHS,Upazila Health Complex,Barishal,বরিশাল,Barishal,বরিশাল,Barishal N/A,,Bakerganj,,Bakerganj Paurasava,Urban Ward No-05,No
1948,Chamta(neamati) Union Health Sub Center,চামটা (নিয়ামতি) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001957,chamta_neamati@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Barishal,বরিশাল,Barishal,বরিশাল,Barishal N/A,,Bakerganj,,Unions Of Bakerganj Upazila,Niamati,No
1949,Charramudi Union Health Sub Center,চরামদ্দি উপ-স্বাস্থ্য কেন্দ্র,10001958,charramudi@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Barishal,বরিশাল,Barishal,বরিশাল,Barishal N/A,,Bakerganj,,Unions Of Bakerganj Upazila,Char Amaddi,No
1950,Faridpur(durgpasha) Union Health Sub Center,ফরিদপুর(দুর্গাপাশা) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001959,faridpur_durgpasha@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Barishal,বরিশাল,Barishal,বরিশাল,Barishal N/A,,Bakerganj,,Unions Of Bakerganj Upazila,Faridpur,No
1951,Kalaskati Union Health Sub Center,কলসকাঠী  ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001960,kalaskati@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Barishal,বরিশাল,Barishal,বরিশাল,Barishal N/A,,Bakerganj,,Unions Of Bakerganj Upazila,Kalaskati,No
1952,Khariabad(gururia) Union Health Sub Center,খয়রাবাদ (গারুড়িয়া) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001961,khariabad_gururia@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Barishal,বরিশাল,Barishal,বরিশাল,Barishal N/A,,Bakerganj,,Unions Of Bakerganj Upazila,Garuria,No
1953,Laxmipasha(kabai) Union Health Sub Center,লক্ষিপাশা (কাবাই) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001962,laxmipasha_kabai@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Barishal,বরিশাল,Barishal,বরিশাল,Barishal N/A,,Bakerganj,,Unions Of Bakerganj Upazila,Kabai,No
1955,Padrishibpur Union Health Sub Center,পাদ্রীশিবপুর  ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001964,padrishibpur@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Barishal,বরিশাল,Barishal,বরিশাল,Barishal N/A,,Bakerganj,,Unions Of Bakerganj Upazila,Padri Shibpur,No
1958,Chhakhar 10 bed Hospital,চাখার ১০ শয্যা বিশিষ্ট হাসপাতাল,10001967,chhakhar@hospi10.dghs.gov.bd,DGHS,10-bed Hospital,Barishal,বরিশাল,Barishal,বরিশাল,Barishal N/A,,Banaripara,,Unions Of Banari Para Upazila,Chakhar,No
1957,Banaripara Upazila Health Complex,বানারীপাড়া উপজেলা স্বাস্থ্য কমপ্লেক্স,10001966,banaripara@uhfpo.dghs.gov.bd,DGHS,Upazila Health Complex,Barishal,বরিশাল,Barishal,বরিশাল,Barishal N/A,,Banaripara,,Banari Para Paurasava,,No
1956,Awar(baisari) Union Health Sub Center,আউয়ার ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001965,awar_baisari@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Barishal,বরিশাল,Barishal,বরিশাল,Barishal N/A,,Banaripara,,Unions Of Banari Para Upazila,Saidkati,No
1973,Gournadi Upazila Health Complex,গৌরনদী উপজেলা স্বাস্থ্য কমপ্লেক্সে,10001982,gournadi@uhfpo.dghs.gov.bd,DGHS,Upazila Health Complex,Barishal,বরিশাল,Barishal,বরিশাল,Barishal N/A,,Gaurnadi,,,,No
1970,Batazore Union Health Sub Center,বাটাজোর ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001979,batazore@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Barishal,বরিশাল,Barishal,বরিশাল,Barishal N/A,,Gaurnadi,,Unions Of Gaurnadi Upazila,Batajore,No
1971,Khanjapur Union Health Sub Center,খাঞ্জাপুর ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001980,khanjapur@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Barishal,বরিশাল,Barishal,বরিশাল,Barishal N/A,,Gaurnadi,,Unions Of Gaurnadi Upazila,Khanjapur,No
1972,Nalchira Union Health Sub Center,নলচিরা ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001981,nalchira@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Barishal,বরিশাল,Barishal,বরিশাল,Barishal N/A,,Gaurnadi,,Unions Of Gaurnadi Upazila,Nalchira,No
1975,Hijla Upazila Health Complex,হিজলা উপজেলা স্বাস্থ্য কমপ্লেক্স,10001984,hijla@uhfpo.dghs.gov.bd,DGHS,Upazila Health Complex,Barishal,বরিশাল,Barishal,বরিশাল,Barishal N/A,,Hizla,,Unions Of Hizla Upazila,Bara Jalia,No
1974,Dhanusikdarhat(harinathpur) Union Health Sub Center,ধানুসিক্দারহাট) হরিনাথপুর) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001983,dhanusikdarhat_harinathpur@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Barishal,বরিশাল,Barishal,বরিশাল,Barishal N/A,,Hizla,,Unions Of Hizla Upazila,Harinathpur,No
1979,Mehendiganj Upazila Health Complex,মেহেন্দিগঞ্জ উপজেলা হেলথ কমপ্লেক্স,10001988,mehendiganj@uhfpo.dghs.gov.bd,DGHS,Upazila Health Complex,Barishal,বরিশাল,Barishal,বরিশাল,Barishal N/A,,Mehendiganj,,Mhendiganj Paurasava,Urban Ward No-02,No
1976,Bhasanchar Union Health Sub Center,ভাসানচর ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001985,bhasanchar@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Barishal,বরিশাল,Barishal,বরিশাল,Barishal N/A,,Mehendiganj,,Unions Of Mhendiganj Upazila,Bhasan Char,No
1977,Langutia(jangalia) Union Health Sub Center,লংগুটিয়া(জাঙ্গালিয়া) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001986,langutia_jangalia@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Barishal,বরিশাল,Barishal,বরিশাল,Barishal N/A,,Mehendiganj,,Unions Of Mhendiganj Upazila,Jangalia,No
1978,Lata Union Health Sub Center,লতা ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001987,lata@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Barishal,বরিশাল,Barishal,বরিশাল,Barishal N/A,,Mehendiganj,,Unions Of Mhendiganj Upazila,Lata,No
1980,Ulania Union Sub-center,উলানিয়া ইউনিয়ন ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001989,ulania@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Barishal,বরিশাল,Barishal,বরিশাল,Barishal N/A,,Mehendiganj,,Unions Of Mhendiganj Upazila,Ulania,No
1982,Muladi Upazila Health Complex,মুলাদী উপজেলা স্বাস্থ্য কমপ্লেক্স,10001991,muladi@uhfpo.dghs.gov.bd,DGHS,Upazila Health Complex,Barishal,বরিশাল,Barishal,বরিশাল,Barishal N/A,,Muladi,,Muladi Paurashava,Urban Ward No-04,No
1981,Alimabad(batamara) Union Health Sub Center,আলিমাবাদ)(বাটামারা) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001990,alimabad_batamara@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Barishal,বরিশাল,Barishal,বরিশাল,Barishal N/A,,Muladi,,Unions Of Muladi Upazila,Batamara,No
1983,Padarhat(kazirchar) Union Health Sub Center,পদরহাট(কাজিরচর) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001992,padarhat_kazirchar@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Barishal,বরিশাল,Barishal,বরিশাল,Barishal N/A,,Muladi,,Unions Of Muladi Upazila,Kazir Char,No
1984,Paikha(gachua)) Union Health Sub Center,পৈক্ষা(গাছুয়া) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001993,paikha_gachua@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Barishal,বরিশাল,Barishal,বরিশাল,Barishal N/A,,Muladi,,Unions Of Muladi Upazila,Gachhua,No
1988,Wazirpur Upazila Health Complex,উজিরপুর উপাজেলা স্বাস্থ্য কমপ্লেক্স,10001997,wazirpur@uhfpo.dghs.gov.bd,DGHS,Upazila Health Complex,Barishal,বরিশাল,Barishal,বরিশাল,Barishal N/A,,Wazirpur,,,,No
1985,Atipara(bamrail) Union Health Sub Center,"আটিপাড়া উপস্বাস্থ্য কেন্দ্র,বামরাইল ।",10001994,atipara_bamrail@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Barishal,বরিশাল,Barishal,বরিশাল,Barishal N/A,,Wazirpur,,Unions Of Wazirpur Upazila,Bamrail,No
1986,Chathalbari(barakoth) Union Health Sub Center,চথলবাড়ী(বড়াকোঠা) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001995,chathalbari_barakoth@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Barishal,বরিশাল,Barishal,বরিশাল,Barishal N/A,,Wazirpur,,Unions Of Wazirpur Upazila,Bara Kotha,No
1987,Moshang(otra) Union Health Sub Center,মোশাং(অত্রা) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001996,moshang_otra@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Barishal,বরিশাল,Barishal,বরিশাল,Barishal N/A,,Wazirpur,,Unions Of Wazirpur Upazila,Otra,No
1989,Satla Union Health Sub Center,সাতলা ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001998,satla@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Barishal,বরিশাল,Barishal,বরিশাল,Barishal N/A,,Wazirpur,,Unions Of Wazirpur Upazila,Satla,No
1990,Shikerpur Union Health Sub Center,শিকেরপুর ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001999,shikerpur@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Barishal,বরিশাল,Barishal,বরিশাল,Barishal N/A,,Wazirpur,,Unions Of Wazirpur Upazila,Shikarpur,No
1993,Bhola 250 bed District Sadar Hospital,ভোলা ২৫০ শয্যা জেলা সদর হাসপাতাল,10002002,bhola@hospi.dghs.gov.bd,DGHS,District/General Hospital,Barishal,বরিশাল,Bhola,,Bhola N/A,,Bhola Sadar,,Bhola Paurasava,Urban Ward No-03,No
1995,Borhanuddin Upazila Health Complex,বোরহানউদ্দিন উপজেলা স্বাস্থ্য কমপ্লেক্স,10002004,borhanuddin@uhfpo.dghs.gov.bd,DGHS,Upazila Health Complex,Barishal,বরিশাল,Bhola,,Bhola N/A,,Burhanuddin,,Burhanuddin Paurasava,,No
1996,Dularhat Union Health Sub Center,দুলারহাট ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10002005,dularhat@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Barishal,বরিশাল,Bhola,,Bhola N/A,,Charfession,,Unions Of Char Fasson Upazila,Dhal Char,No
1999,Daulatkhan Upazila Health Complex,দৌলতখান উপজেলা স্বাস্থ্য কমপ্লেক্স,10002008,daulatkhan@uhfpo.dghs.gov.bd,DGHS,Upazila Health Complex,Barishal,বরিশাল,Bhola,,Bhola N/A,,Daulatkhan,,Daulatkhan Paurasava,Urban Ward No-03,No
2001,Sarajganj(syedpur) Union Health Sub Center,সরাজগঞ্জ(সৈয়দপুর) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10002010,sarajganj_syedpur@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Barishal,বরিশাল,Bhola,,Bhola N/A,,Daulatkhan,,Unions Of Daulat Khan Upazila,Saidpur,No
2006,Lalmohan Upazila Health Complex,লালমোহন উপজেলা স্বাস্থ্য কমপ্লেক্স,10002015,lalmohan@uhfpo.dghs.gov.bd,DGHS,Upazila Health Complex,Barishal,বরিশাল,Bhola,,Bhola N/A,,Lalmohan,,,,No
2008,Manpura Upazila Health Complex,মনপুরা উপজেলা স্বাস্থ্য কমপ্লেক্স,10002017,manpura@uhfpo.dghs.gov.bd,DGHS,Upazila Health Complex,Barishal,বরিশাল,Bhola,,Bhola N/A,,Manpura,,,,No
2007,Monpura Union Health Sub Center,মনপুরা ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10002016,monpura@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Barishal,বরিশাল,Bhola,,Bhola N/A,,Manpura,,Unions Of Manpura Upazila,Manpura,No
2009,Tajumuddin Upazila Health Complex,তজুমদ্দিন উপজেলা স্বাস্থ্য কমপ্লেক্স ।,10002018,tajumuddin@uhfpo.dghs.gov.bd,DGHS,Upazila Health Complex,Barishal,বরিশাল,Bhola,,Bhola N/A,,Tazumuddin,,,,No
2010,Kirtipasha 10 bed Hospital (RHC),কির্তিপাশা ১০ শয্যা বিশিষ্ট হাসপাতাল (পল্লী স্বাস্থ্য কেন্দ্র),10002019,kirtipasha@hospi10.dghs.gov.bd,DGHS,10-bed Hospital,Barishal,বরিশাল,Jhalokathi,,Jhalokati N/A,,Jhalokathi Sadar,,,,No
2016,Jhalokathi District Hospital,"সদর হাসপাতাল,ঝালকাঠী",10002025,jhalkathi@hospi.dghs.gov.bd,DGHS,District/General Hospital,Barishal,বরিশাল,Jhalokathi,,Jhalokati N/A,,Jhalokathi Sadar,,,,No
2011,Binoykathi Union Health Sub Center,বিনয়কাঠি ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10002020,binoykathi@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Barishal,বরিশাল,Jhalokathi,,Jhalokati N/A,,Jhalokathi Sadar,,Unions Of Jhalokati Sadar Upazila,Binoykati,No
2012,Gabkhan Dhansiri Union Health Sub Center,গাবখান ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10002021,gabkhandhansiri@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Barishal,বরিশাল,Jhalokathi,,Jhalokati N/A,,Jhalokathi Sadar,,Unions Of Jhalokati Sadar Upazila,Gabkhan Dhansiri,No
2013,Gavaramchandrapur Union Health Sub Center,গাভারামচন্দ্রপুর ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10002022,gavaramchandrapur@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Barishal,বরিশাল,Jhalokathi,,Jhalokati N/A,,Jhalokathi Sadar,,Unions Of Jhalokati Sadar Upazila,Nathullabad,No
2018,Kathalia Upazila Health Complex,কাঁঠালিয়া উপজেলা স্বাস্থ্য কমপ্লেক্স,10002027,kathalia@uhfpo.dghs.gov.bd,DGHS,Upazila Health Complex,Barishal,বরিশাল,Jhalokathi,,Jhalokati N/A,,Kanthalia,,Unions Of Kanthalia Upazila,Amua,No
2017,Aourabunia Union Health Sub Center,আউরাবুনিয়া ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10002026,aourabunia@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Barishal,বরিশাল,Jhalokathi,,Jhalokati N/A,,Kanthalia,,Unions Of Kanthalia Upazila,Awrabunia,No
18909,Kathalia Union Health Sub Center,কাঠালিয়া ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10019329,u10019329@union.dghs.gov.bd,DGHS,Union Health Sub Center,Barishal,বরিশাল,Jhalokathi,,Jhalokati N/A,,Kanthalia,,Unions Of Kanthalia Upazila,Kanthalia,No
2019,Nalchity Upazila Health Complex,"৫০ শয্যা   বিশিষ্ট    উপজেলা    স্বাস্থ্য    কমপ্লেক্স   , নলছিটি, ঝালকাঠী",10002028,nalchiti@uhfpo.dghs.gov.bd,DGHS,Upazila Health Complex,Barishal,বরিশাল,Jhalokathi,,Jhalokati N/A,,Nalchity,,Nalchity Paurasava,Urban Ward No-04,No
2020,Rajapur Upazila Health Complex,রাজাপুর উপজেলা স্বাস্থ্য কমপ্লেক্স,10002029,rajapur@uhfpo.dghs.gov.bd,DGHS,Upazila Health Complex,Barishal,বরিশাল,Jhalokathi,,Jhalokati N/A,,Rajapur,,Unions Of Rajapur Upazila,Rajapur,No
2024,Bauphal Upazila Health Complex,বাউফল উপজেলা স্বাস্থ্য কমপ্লেক্স,10002033,bauphal@uhfpo.dghs.gov.bd,DGHS,Upazila Health Complex,Barishal,বরিশাল,Patuakhali,,Patuakhali N/A,,Bauphal,,Bauphal Paurashava,,No
2021,Bauphal(kanakdia) Union Health Sub Center,বাউফল(কনকদিয়া) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10002030,bauphal_kanakdia@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Barishal,বরিশাল,Patuakhali,,Patuakhali N/A,,Bauphal,,Unions Of Bauphal Upazila,Kanakdia,No
2022,Boga Union Health Sub Center,বগা ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10002031,boga@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Barishal,বরিশাল,Patuakhali,,Patuakhali N/A,,Bauphal,,Unions Of Bauphal Upazila,Baga,No
2023,Kalisuri Union Health Sub Center,কালিসুরি ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10002032,kalisuri@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Barishal,বরিশাল,Patuakhali,,Patuakhali N/A,,Bauphal,,Unions Of Bauphal Upazila,Kalisuri,No
2025,Dashmina Upazila Health Complex,দশমিনা উপজেলা স্বাস্থ্য কমপ্লেক্স,10002034,dasmina@uhfpo.dghs.gov.bd,DGHS,Upazila Health Complex,Barishal,বরিশাল,Patuakhali,,Patuakhali N/A,,Dashmina,,Unions Of Dashmina Upazila,Dashmina,No
2026,Dumki Upazila Health Complex,"দুমকী উপজেলা স্বাস্থ্য কমপ্লেক্স, দুমকী, পটুয়াখালী",10002035,dumki@uhfpo.dghs.gov.bd,DGHS,Upazila Health Complex,Barishal,বরিশাল,Patuakhali,,Patuakhali N/A,,Dumki,,,,No
