Facility_ID,Name_EN,Name_Bn,Code,Email,Agency,Facility_Type_ID,Facility_Type,Division_ID,Division_En,Division_Bn,District_ID,District_EN,District_Bn,Upazila_ID,Upazila_En,Upazila_Bn,City Corporation,City Corporation Bn,Paurasava_En,Union_En
1935,Kownia (Bura Mazumder) Union Health Sub Center,কাউনিয়া(বুড়া মজুমদার) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001944,kownia_bibechini@usc.dghs.gov.bd,DGHS,38,Union Health Sub Center,6,Barishal,বরিশাল,55,Barguna,বরগুনা,4,Betagi,বেতাগি,Barguna N/A,বরগুনা এন/এ,Unions Of Betagi Upazila,Bura Mazumdar
1938,Patharghata Upazila Health Complex,পাথরঘাটা উপজেলা স্বাস্থ্য কমপ্লেক্স,10001947,patharghata@uhfpo.dghs.gov.bd,DGHS,29,Upazila Health Complex,6,Barishal,বরিশাল,55,Barguna,বরগুনা,5,Patharghata,পাথরঘাটা,Barguna N/A,বরগুনা এন/এ,,
1937,Kalmegha Union Health Sub Center,কালমেঘা ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001946,kalmegha@usc.dghs.gov.bd,DGHS,38,Union Health Sub Center,6,Barishal,বরিশাল,55,Barguna,বরগুনা,5,Patharghata,পাথরঘাটা,Barguna N/A,বরগুনা এন/এ,Unions Of Patharghata Upazila,Kalmegha
1939,Agailjhara Upazila Health Complex,আগৈলঝাড়া উপজেলা স্বাস্থ্য কমপ্লেক্স,10001948,agailjhara@uhfpo.dghs.gov.bd,DGHS,29,Upazila Health Complex,6,Barishal,বরিশাল,56,Barishal,বরিশাল,7,Agailjhara,আগৈলঝারা,Barishal N/A,বরিশাল এন/এ,Unions Of Agailjhara Upazila,Gaila
1940,Paisarhat(bakal) Union Health Sub Center,পয়সারহাট(বাকল) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001949,paisarhat_bakal@usc.dghs.gov.bd,DGHS,38,Union Health Sub Center,6,Barishal,বরিশাল,56,Barishal,বরিশাল,7,Agailjhara,আগৈলঝারা,Barishal N/A,বরিশাল এন/এ,Unions Of Agailjhara Upazila,Bakal
1941,Ratnapur Union Health Sub Center,রত্নাপুর ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001950,ratnapur@usc.dghs.gov.bd,DGHS,38,Union Health Sub Center,6,Barishal,বরিশাল,56,Barishal,বরিশাল,7,Agailjhara,আগৈলঝারা,Barishal N/A,বরিশাল এন/এ,Unions Of Agailjhara Upazila,Ratnapur
1946,Babuganj Upazila Health Complex,বাবুগঞ্জ উপজেলা স্বাস্থ্য কমপ্লেক্স,10001955,babuganj@uhfpo.dghs.gov.bd,DGHS,29,Upazila Health Complex,6,Barishal,বরিশাল,56,Barishal,বরিশাল,8,Babuganj,বাবুগঞ্জ,Barishal N/A,বরিশাল এন/এ,Unions Of Babuganj Upazila,Dehergati
1942,Agarpur Union Health Sub Center,আগরপুর ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001951,agarpur@usc.dghs.gov.bd,DGHS,38,Union Health Sub Center,6,Barishal,বরিশাল,56,Barishal,বরিশাল,8,Babuganj,বাবুগঞ্জ,Barishal N/A,বরিশাল এন/এ,Unions Of Babuganj Upazila,Jahangir Nagar(agarpur)
1943,Dehergati Union Health Sub Center,দেহেরগাতি ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001952,dehergati@usc.dghs.gov.bd,DGHS,38,Union Health Sub Center,6,Barishal,বরিশাল,56,Barishal,বরিশাল,8,Babuganj,বাবুগঞ্জ,Barishal N/A,বরিশাল এন/এ,Unions Of Babuganj Upazila,Dehergati
1944,Madhabpasha Union Health Sub Center,মাধবপাশা ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001953,madhabpasha@usc.dghs.gov.bd,DGHS,38,Union Health Sub Center,6,Barishal,বরিশাল,56,Barishal,বরিশাল,8,Babuganj,বাবুগঞ্জ,Barishal N/A,বরিশাল এন/এ,Unions Of Babuganj Upazila,Madhab Pasha
1945,Mohanganj(chandpasha) Union Health Sub Center,মোহনগঞ্জ(চাঁদপাশা) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001954,mohanganj_chandpasha@usc.dghs.gov.bd,DGHS,38,Union Health Sub Center,6,Barishal,বরিশাল,56,Barishal,বরিশাল,8,Babuganj,বাবুগঞ্জ,Barishal N/A,বরিশাল এন/এ,Unions Of Babuganj Upazila,Chandpasha
23178,Jahapur Union Health Sub Center.,জাহাপুর ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র।,10023590,Jahapur_bdurganj@usc.dghs.gov.bd,DGHS,38,Union Health Sub Center,6,Barishal,বরিশাল,56,Barishal,বরিশাল,8,Babuganj,বাবুগঞ্জ,Barishal N/A,বরিশাল এন/এ,Unions Of Babuganj Upazila,Jahangir Nagar(agarpur)
1954,Bakerganj Upazila Health Complex,বাকেরগঞ্জ উপজেলা স্বাস্থ্য কমপ্লেক্স,10001963,bakerganj@uhfpo.dghs.gov.bd,DGHS,29,Upazila Health Complex,6,Barishal,বরিশাল,56,Barishal,বরিশাল,9,Bakerganj,বাকেরগঞ্জ,Barishal N/A,বরিশাল এন/এ,Bakerganj Paurasava,Urban Ward No-05
1948,Chamta(neamati) Union Health Sub Center,চামটা (নিয়ামতি) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001957,chamta_neamati@usc.dghs.gov.bd,DGHS,38,Union Health Sub Center,6,Barishal,বরিশাল,56,Barishal,বরিশাল,9,Bakerganj,বাকেরগঞ্জ,Barishal N/A,বরিশাল এন/এ,Unions Of Bakerganj Upazila,Niamati
1949,Charramudi Union Health Sub Center,চরামদ্দি উপ-স্বাস্থ্য কেন্দ্র,10001958,charramudi@usc.dghs.gov.bd,DGHS,38,Union Health Sub Center,6,Barishal,বরিশাল,56,Barishal,বরিশাল,9,Bakerganj,বাকেরগঞ্জ,Barishal N/A,বরিশাল এন/এ,Unions Of Bakerganj Upazila,Char Amaddi
1950,Faridpur(durgpasha) Union Health Sub Center,ফরিদপুর(দুর্গাপাশা) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001959,faridpur_durgpasha@usc.dghs.gov.bd,DGHS,38,Union Health Sub Center,6,Barishal,বরিশাল,56,Barishal,বরিশাল,9,Bakerganj,বাকেরগঞ্জ,Barishal N/A,বরিশাল এন/এ,Unions Of Bakerganj Upazila,Faridpur
1951,Kalaskati Union Health Sub Center,কলসকাঠী  ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001960,kalaskati@usc.dghs.gov.bd,DGHS,38,Union Health Sub Center,6,Barishal,বরিশাল,56,Barishal,বরিশাল,9,Bakerganj,বাকেরগঞ্জ,Barishal N/A,বরিশাল এন/এ,Unions Of Bakerganj Upazila,Kalaskati
1952,Khariabad(gururia) Union Health Sub Center,খয়রাবাদ (গারুড়িয়া) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001961,khariabad_gururia@usc.dghs.gov.bd,DGHS,38,Union Health Sub Center,6,Barishal,বরিশাল,56,Barishal,বরিশাল,9,Bakerganj,বাকেরগঞ্জ,Barishal N/A,বরিশাল এন/এ,Unions Of Bakerganj Upazila,Garuria
1953,Laxmipasha(kabai) Union Health Sub Center,লক্ষিপাশা (কাবাই) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001962,laxmipasha_kabai@usc.dghs.gov.bd,DGHS,38,Union Health Sub Center,6,Barishal,বরিশাল,56,Barishal,বরিশাল,9,Bakerganj,বাকেরগঞ্জ,Barishal N/A,বরিশাল এন/এ,Unions Of Bakerganj Upazila,Kabai
1955,Padrishibpur Union Health Sub Center,পাদ্রীশিবপুর  ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001964,padrishibpur@usc.dghs.gov.bd,DGHS,38,Union Health Sub Center,6,Barishal,বরিশাল,56,Barishal,বরিশাল,9,Bakerganj,বাকেরগঞ্জ,Barishal N/A,বরিশাল এন/এ,Unions Of Bakerganj Upazila,Padri Shibpur
1958,Chhakhar 10 bed Hospital,চাখার ১০ শয্যা বিশিষ্ট হাসপাতাল,10001967,chhakhar@hospi10.dghs.gov.bd,DGHS,27,10-bed Hospital,6,Barishal,বরিশাল,56,Barishal,বরিশাল,10,Banaripara,বানারীপাড়া,Barishal N/A,বরিশাল এন/এ,Unions Of Banari Para Upazila,Chakhar
1957,Banaripara Upazila Health Complex,বানারীপাড়া উপজেলা স্বাস্থ্য কমপ্লেক্স,10001966,banaripara@uhfpo.dghs.gov.bd,DGHS,29,Upazila Health Complex,6,Barishal,বরিশাল,56,Barishal,বরিশাল,10,Banaripara,বানারীপাড়া,Barishal N/A,বরিশাল এন/এ,Banari Para Paurasava,
1956,Awar(baisari) Union Health Sub Center,আউয়ার ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001965,awar_baisari@usc.dghs.gov.bd,DGHS,38,Union Health Sub Center,6,Barishal,বরিশাল,56,Barishal,বরিশাল,10,Banaripara,বানারীপাড়া,Barishal N/A,বরিশাল এন/এ,Unions Of Banari Para Upazila,Saidkati
1973,Gournadi Upazila Health Complex,গৌরনদী উপজেলা স্বাস্থ্য কমপ্লেক্সে,10001982,gournadi@uhfpo.dghs.gov.bd,DGHS,29,Upazila Health Complex,6,Barishal,বরিশাল,56,Barishal,বরিশাল,11,Gaurnadi,গৌরনাদি,Barishal N/A,বরিশাল এন/এ,,
1970,Batazore Union Health Sub Center,বাটাজোর ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001979,batazore@usc.dghs.gov.bd,DGHS,38,Union Health Sub Center,6,Barishal,বরিশাল,56,Barishal,বরিশাল,11,Gaurnadi,গৌরনাদি,Barishal N/A,বরিশাল এন/এ,Unions Of Gaurnadi Upazila,Batajore
1971,Khanjapur Union Health Sub Center,খাঞ্জাপুর ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001980,khanjapur@usc.dghs.gov.bd,DGHS,38,Union Health Sub Center,6,Barishal,বরিশাল,56,Barishal,বরিশাল,11,Gaurnadi,গৌরনাদি,Barishal N/A,বরিশাল এন/এ,Unions Of Gaurnadi Upazila,Khanjapur
1972,Nalchira Union Health Sub Center,নলচিরা ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001981,nalchira@usc.dghs.gov.bd,DGHS,38,Union Health Sub Center,6,Barishal,বরিশাল,56,Barishal,বরিশাল,11,Gaurnadi,গৌরনাদি,Barishal N/A,বরিশাল এন/এ,Unions Of Gaurnadi Upazila,Nalchira
1975,Hijla Upazila Health Complex,হিজলা উপজেলা স্বাস্থ্য কমপ্লেক্স,10001984,hijla@uhfpo.dghs.gov.bd,DGHS,29,Upazila Health Complex,6,Barishal,বরিশাল,56,Barishal,বরিশাল,12,Hizla,হিজলা,Barishal N/A,বরিশাল এন/এ,Unions Of Hizla Upazila,Bara Jalia
1974,Dhanusikdarhat(harinathpur) Union Health Sub Center,ধানুসিক্দারহাট) হরিনাথপুর) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001983,dhanusikdarhat_harinathpur@usc.dghs.gov.bd,DGHS,38,Union Health Sub Center,6,Barishal,বরিশাল,56,Barishal,বরিশাল,12,Hizla,হিজলা,Barishal N/A,বরিশাল এন/এ,Unions Of Hizla Upazila,Harinathpur
1968,Sher-E-Bangla Medical College,শের-ই-বাংলা মেডিকেল কলেজ,10001977,sbmc@ac.dghs.gov.bd,DGHS,4,Medical College,6,Barishal,বরিশাল,56,Barishal,বরিশাল,13,Barishal Sadar,বরিশাল সদর,Barishal City Corporation,বরিশাল সিটি করপোরেশন,Barisal City Corp.,
1969,Sher-e-bangla Medical College Hospital,শের-ই-বাংলা মেডিকেল কলেজ হাসপাতাল,10001978,sbmch@hospi.dghs.gov.bd,DGHS,5,Medical College Hospital,6,Barishal,বরিশাল,56,Barishal,বরিশাল,13,Barishal Sadar,বরিশাল সদর,Barishal City Corporation,বরিশাল সিটি করপোরেশন,Barisal City Corp.,
16770,Barishal Institute of Health Technology,বরিশাল ইনস্টিটিউট অফ হেলথ টেকনোলজি,10017205,istb@ac.dghs.gov.bd,DGHS,15,Institute of Health Technology,6,Barishal,বরিশাল,56,Barishal,বরিশাল,13,Barishal Sadar,বরিশাল সদর,Barishal City Corporation,বরিশাল সিটি করপোরেশন,Barisal City Corp.,Urban Ward No-11
1963,Barisal General Hospital,বরিশাল জেনারেল হাসপাতাল,10001972,barisal@hospi.dghs.gov.bd,DGHS,28,District/General Hospital,6,Barishal,বরিশাল,56,Barishal,বরিশাল,13,Barishal Sadar,বরিশাল সদর,Barishal City Corporation,বরিশাল সিটি করপোরেশন,Barisal City Corp.,
1967,Barisal Chest Disease Hospital,বরিশাল বক্ষব্যাধি হাসপাতাল,10001976,barisal@tbsh.dghs.gov.bd,DGHS,34,Chest Disease Hospital,6,Barishal,বরিশাল,56,Barishal,বরিশাল,13,Barishal Sadar,বরিশাল সদর,Barishal City Corporation,বরিশাল সিটি করপোরেশন,,
1961,Sayestabad Union Health Sub Center,সায়েস্তাবাদ ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001970,sayestabad@usc.dghs.gov.bd,DGHS,38,Union Health Sub Center,6,Barishal,বরিশাল,56,Barishal,বরিশাল,13,Barishal Sadar,বরিশাল সদর,Barishal City Corporation,বরিশাল সিটি করপোরেশন,Unions Of Barisal Sadar (kotwali) Upazila,Shayestabad
1966,Barishal Chest Disease Clinic,বরিশাল বক্ষব্যাধি ক্লিনিক,10001975,barishalcdc@tc.dghs.gov.bd,DGHS,56,Chest Disease Clinic,6,Barishal,বরিশাল,56,Barishal,বরিশাল,13,Barishal Sadar,বরিশাল সদর,Barishal City Corporation,বরিশাল সিটি করপোরেশন,,
1979,Mehendiganj Upazila Health Complex,মেহেন্দিগঞ্জ উপজেলা হেলথ কমপ্লেক্স,10001988,mehendiganj@uhfpo.dghs.gov.bd,DGHS,29,Upazila Health Complex,6,Barishal,বরিশাল,56,Barishal,বরিশাল,14,Mehendiganj,মেহেন্দিগঞ্জ,Barishal N/A,বরিশাল এন/এ,Mhendiganj Paurasava,Urban Ward No-02
1976,Bhasanchar Union Health Sub Center,ভাসানচর ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001985,bhasanchar@usc.dghs.gov.bd,DGHS,38,Union Health Sub Center,6,Barishal,বরিশাল,56,Barishal,বরিশাল,14,Mehendiganj,মেহেন্দিগঞ্জ,Barishal N/A,বরিশাল এন/এ,Unions Of Mhendiganj Upazila,Bhasan Char
1977,Langutia(jangalia) Union Health Sub Center,লংগুটিয়া(জাঙ্গালিয়া) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001986,langutia_jangalia@usc.dghs.gov.bd,DGHS,38,Union Health Sub Center,6,Barishal,বরিশাল,56,Barishal,বরিশাল,14,Mehendiganj,মেহেন্দিগঞ্জ,Barishal N/A,বরিশাল এন/এ,Unions Of Mhendiganj Upazila,Jangalia
1978,Lata Union Health Sub Center,লতা ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001987,lata@usc.dghs.gov.bd,DGHS,38,Union Health Sub Center,6,Barishal,বরিশাল,56,Barishal,বরিশাল,14,Mehendiganj,মেহেন্দিগঞ্জ,Barishal N/A,বরিশাল এন/এ,Unions Of Mhendiganj Upazila,Lata
1980,Ulania Union Sub-center,উলানিয়া ইউনিয়ন ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001989,ulania@usc.dghs.gov.bd,DGHS,38,Union Health Sub Center,6,Barishal,বরিশাল,56,Barishal,বরিশাল,14,Mehendiganj,মেহেন্দিগঞ্জ,Barishal N/A,বরিশাল এন/এ,Unions Of Mhendiganj Upazila,Ulania
1982,Muladi Upazila Health Complex,মুলাদী উপজেলা স্বাস্থ্য কমপ্লেক্স,10001991,muladi@uhfpo.dghs.gov.bd,DGHS,29,Upazila Health Complex,6,Barishal,বরিশাল,56,Barishal,বরিশাল,15,Muladi,মুলাদি,Barishal N/A,বরিশাল এন/এ,Muladi Paurashava,Urban Ward No-04
1981,Alimabad(batamara) Union Health Sub Center,আলিমাবাদ)(বাটামারা) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001990,alimabad_batamara@usc.dghs.gov.bd,DGHS,38,Union Health Sub Center,6,Barishal,বরিশাল,56,Barishal,বরিশাল,15,Muladi,মুলাদি,Barishal N/A,বরিশাল এন/এ,Unions Of Muladi Upazila,Batamara
1983,Padarhat(kazirchar) Union Health Sub Center,পদরহাট(কাজিরচর) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001992,padarhat_kazirchar@usc.dghs.gov.bd,DGHS,38,Union Health Sub Center,6,Barishal,বরিশাল,56,Barishal,বরিশাল,15,Muladi,মুলাদি,Barishal N/A,বরিশাল এন/এ,Unions Of Muladi Upazila,Kazir Char
1984,Paikha(gachua)) Union Health Sub Center,পৈক্ষা(গাছুয়া) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001993,paikha_gachua@usc.dghs.gov.bd,DGHS,38,Union Health Sub Center,6,Barishal,বরিশাল,56,Barishal,বরিশাল,15,Muladi,মুলাদি,Barishal N/A,বরিশাল এন/এ,Unions Of Muladi Upazila,Gachhua
1988,Wazirpur Upazila Health Complex,উজিরপুর উপাজেলা স্বাস্থ্য কমপ্লেক্স,10001997,wazirpur@uhfpo.dghs.gov.bd,DGHS,29,Upazila Health Complex,6,Barishal,বরিশাল,56,Barishal,বরিশাল,16,Wazirpur,ওয়াজিরপুর,Barishal N/A,বরিশাল এন/এ,,
1985,Atipara(bamrail) Union Health Sub Center,"আটিপাড়া উপস্বাস্থ্য কেন্দ্র,বামরাইল ।",10001994,atipara_bamrail@usc.dghs.gov.bd,DGHS,38,Union Health Sub Center,6,Barishal,বরিশাল,56,Barishal,বরিশাল,16,Wazirpur,ওয়াজিরপুর,Barishal N/A,বরিশাল এন/এ,Unions Of Wazirpur Upazila,Bamrail
1986,Chathalbari(barakoth) Union Health Sub Center,চথলবাড়ী(বড়াকোঠা) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001995,chathalbari_barakoth@usc.dghs.gov.bd,DGHS,38,Union Health Sub Center,6,Barishal,বরিশাল,56,Barishal,বরিশাল,16,Wazirpur,ওয়াজিরপুর,Barishal N/A,বরিশাল এন/এ,Unions Of Wazirpur Upazila,Bara Kotha
1987,Moshang(otra) Union Health Sub Center,মোশাং(অত্রা) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001996,moshang_otra@usc.dghs.gov.bd,DGHS,38,Union Health Sub Center,6,Barishal,বরিশাল,56,Barishal,বরিশাল,16,Wazirpur,ওয়াজিরপুর,Barishal N/A,বরিশাল এন/এ,Unions Of Wazirpur Upazila,Otra
1989,Satla Union Health Sub Center,সাতলা ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001998,satla@usc.dghs.gov.bd,DGHS,38,Union Health Sub Center,6,Barishal,বরিশাল,56,Barishal,বরিশাল,16,Wazirpur,ওয়াজিরপুর,Barishal N/A,বরিশাল এন/এ,Unions Of Wazirpur Upazila,Satla
1990,Shikerpur Union Health Sub Center,শিকেরপুর ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10001999,shikerpur@usc.dghs.gov.bd,DGHS,38,Union Health Sub Center,6,Barishal,বরিশাল,56,Barishal,বরিশাল,16,Wazirpur,ওয়াজিরপুর,Barishal N/A,বরিশাল এন/এ,Unions Of Wazirpur Upazila,Shikarpur
1993,Bhola 250 bed District Sadar Hospital,ভোলা ২৫০ শয্যা জেলা সদর হাসপাতাল,10002002,bhola@hospi.dghs.gov.bd,DGHS,28,District/General Hospital,6,Barishal,বরিশাল,57,Bhola,ভোলা,17,Bhola Sadar,ভোলা সদর,Bhola N/A,ভোলা এন/এ,Bhola Paurasava,Urban Ward No-03
1995,Borhanuddin Upazila Health Complex,বোরহানউদ্দিন উপজেলা স্বাস্থ্য কমপ্লেক্স,10002004,borhanuddin@uhfpo.dghs.gov.bd,DGHS,29,Upazila Health Complex,6,Barishal,বরিশাল,57,Bhola,ভোলা,18,Burhanuddin,বুরহানউদ্দিন,Bhola N/A,ভোলা এন/এ,Burhanuddin Paurasava,
1996,Dularhat Union Health Sub Center,দুলারহাট ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10002005,dularhat@usc.dghs.gov.bd,DGHS,38,Union Health Sub Center,6,Barishal,বরিশাল,57,Bhola,ভোলা,19,Charfession,চার্ফেশন,Bhola N/A,ভোলা এন/এ,Unions Of Char Fasson Upazila,Dhal Char
1999,Daulatkhan Upazila Health Complex,দৌলতখান উপজেলা স্বাস্থ্য কমপ্লেক্স,10002008,daulatkhan@uhfpo.dghs.gov.bd,DGHS,29,Upazila Health Complex,6,Barishal,বরিশাল,57,Bhola,ভোলা,20,Daulatkhan,দৌলতখান,Bhola N/A,ভোলা এন/এ,Daulatkhan Paurasava,Urban Ward No-03
2001,Sarajganj(syedpur) Union Health Sub Center,সরাজগঞ্জ(সৈয়দপুর) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10002010,sarajganj_syedpur@usc.dghs.gov.bd,DGHS,38,Union Health Sub Center,6,Barishal,বরিশাল,57,Bhola,ভোলা,20,Daulatkhan,দৌলতখান,Bhola N/A,ভোলা এন/এ,Unions Of Daulat Khan Upazila,Saidpur
2006,Lalmohan Upazila Health Complex,লালমোহন উপজেলা স্বাস্থ্য কমপ্লেক্স,10002015,lalmohan@uhfpo.dghs.gov.bd,DGHS,29,Upazila Health Complex,6,Barishal,বরিশাল,57,Bhola,ভোলা,21,Lalmohan,লালমোহন,Bhola N/A,ভোলা এন/এ,,
2008,Manpura Upazila Health Complex,মনপুরা উপজেলা স্বাস্থ্য কমপ্লেক্স,10002017,manpura@uhfpo.dghs.gov.bd,DGHS,29,Upazila Health Complex,6,Barishal,বরিশাল,57,Bhola,ভোলা,22,Manpura,মনপুরা,Bhola N/A,ভোলা এন/এ,,
2007,Monpura Union Health Sub Center,মনপুরা ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10002016,monpura@usc.dghs.gov.bd,DGHS,38,Union Health Sub Center,6,Barishal,বরিশাল,57,Bhola,ভোলা,22,Manpura,মনপুরা,Bhola N/A,ভোলা এন/এ,Unions Of Manpura Upazila,Manpura
2009,Tajumuddin Upazila Health Complex,তজুমদ্দিন উপজেলা স্বাস্থ্য কমপ্লেক্স ।,10002018,tajumuddin@uhfpo.dghs.gov.bd,DGHS,29,Upazila Health Complex,6,Barishal,বরিশাল,57,Bhola,ভোলা,23,Tazumuddin,তাজুমুদ্দিন,Bhola N/A,ভোলা এন/এ,,
2010,Kirtipasha 10 bed Hospital (RHC),কির্তিপাশা ১০ শয্যা বিশিষ্ট হাসপাতাল (পল্লী স্বাস্থ্য কেন্দ্র),10002019,kirtipasha@hospi10.dghs.gov.bd,DGHS,27,10-bed Hospital,6,Barishal,বরিশাল,58,Jhalokathi,ঝালকাঠি,24,Jhalokathi Sadar,ঝালকাঠি সদর,Jhalokati N/A,ঝালকাঠি এন/এ,,
