Id,Division Bn,District Bn,Upazila Bn,Name (Bangla)
1954,বরিশাল,বরিশাল,বাকেরগঞ্জ,বাকেরগঞ্জ উপজেলা স্বাস্থ্য কমপ্লেক্স
1948,বরিশাল,বরিশাল,বাকেরগঞ্জ,চামটা (নিয়ামতি) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
1949,বরিশাল,বরিশাল,বাকেরগঞ্জ,চরামদ্দি উপ-স্বাস্থ্য কেন্দ্র
1950,বরিশাল,বরিশাল,বাকেরগঞ্জ,ফরিদপুর(দুর্গাপাশা) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
1951,বরিশাল,বরিশাল,বাকেরগঞ্জ,কলসকাঠী  ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
1952,বরিশাল,বরিশাল,বাকেরগঞ্জ,খয়রাবাদ (গারুড়িয়া) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
1953,বরিশাল,বরিশাল,বাকেরগঞ্জ,লক্ষিপাশা (কাবাই) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
1955,বরিশাল,বরিশাল,বাকেরগঞ্জ,পাদ্রীশিবপুর  ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
1958,বরিশাল,বরিশাল,বানারীপাড়া,চাখার ১০ শয্যা বিশিষ্ট হাসপাতাল
1957,বরিশাল,বরিশাল,বানারীপাড়া,বানারীপাড়া উপজেলা স্বাস্থ্য কমপ্লেক্স
1956,বরিশাল,বরিশাল,বানারীপাড়া,আউয়ার ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
1973,বরিশাল,বরিশাল,গৌরনাদি,গৌরনদী উপজেলা স্বাস্থ্য কমপ্লেক্সে
1970,বরিশাল,বরিশাল,গৌরনাদি,বাটাজোর ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
1971,বরিশাল,বরিশাল,গৌরনাদি,খাঞ্জাপুর ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
1972,বরিশাল,বরিশাল,গৌরনাদি,নলচিরা ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
1975,বরিশাল,বরিশাল,হিজলা,হিজলা উপজেলা স্বাস্থ্য কমপ্লেক্স
1974,বরিশাল,বরিশাল,হিজলা,ধানুসিক্দারহাট) হরিনাথপুর) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
1979,বরিশাল,বরিশাল,মেহেন্দিগঞ্জ,মেহেন্দিগঞ্জ উপজেলা হেলথ কমপ্লেক্স
1976,বরিশাল,বরিশাল,মেহেন্দিগঞ্জ,ভাসানচর ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
1977,বরিশাল,বরিশাল,মেহেন্দিগঞ্জ,লংগুটিয়া(জাঙ্গালিয়া) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
1978,বরিশাল,বরিশাল,মেহেন্দিগঞ্জ,লতা ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
1980,বরিশাল,বরিশাল,মেহেন্দিগঞ্জ,উলানিয়া ইউনিয়ন ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
1982,বরিশাল,বরিশাল,মুলাদি,মুলাদী উপজেলা স্বাস্থ্য কমপ্লেক্স
1981,বরিশাল,বরিশাল,মুলাদি,আলিমাবাদ)(বাটামারা) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
1983,বরিশাল,বরিশাল,মুলাদি,পদরহাট(কাজিরচর) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
1984,বরিশাল,বরিশাল,মুলাদি,পৈক্ষা(গাছুয়া) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
1988,বরিশাল,বরিশাল,ওয়াজিরপুর,উজিরপুর উপাজেলা স্বাস্থ্য কমপ্লেক্স
1985,বরিশাল,বরিশাল,ওয়াজিরপুর,"আটিপাড়া উপস্বাস্থ্য কেন্দ্র,বামরাইল ।"
1986,বরিশাল,বরিশাল,ওয়াজিরপুর,চথলবাড়ী(বড়াকোঠা) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
1987,বরিশাল,বরিশাল,ওয়াজিরপুর,মোশাং(অত্রা) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
1989,বরিশাল,বরিশাল,ওয়াজিরপুর,সাতলা ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
1990,বরিশাল,বরিশাল,ওয়াজিরপুর,শিকেরপুর ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
1993,বরিশাল,ভোলা,ভোলা সদর,ভোলা ২৫০ শয্যা জেলা সদর হাসপাতাল
1995,বরিশাল,ভোলা,বুরহানউদ্দিন,বোরহানউদ্দিন উপজেলা স্বাস্থ্য কমপ্লেক্স
1996,বরিশাল,ভোলা,চার্ফেশন,দুলারহাট ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
1999,বরিশাল,ভোলা,দৌলতখান,দৌলতখান উপজেলা স্বাস্থ্য কমপ্লেক্স
2001,বরিশাল,ভোলা,দৌলতখান,সরাজগঞ্জ(সৈয়দপুর) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
2006,বরিশাল,ভোলা,লালমোহন,লালমোহন উপজেলা স্বাস্থ্য কমপ্লেক্স
2008,বরিশাল,ভোলা,মনপুরা,মনপুরা উপজেলা স্বাস্থ্য কমপ্লেক্স
2007,বরিশাল,ভোলা,মনপুরা,মনপুরা ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
2009,বরিশাল,ভোলা,তাজুমুদ্দিন,তজুমদ্দিন উপজেলা স্বাস্থ্য কমপ্লেক্স ।
2010,বরিশাল,ঝালকাঠি,ঝালকাঠি সদর,কির্তিপাশা ১০ শয্যা বিশিষ্ট হাসপাতাল (পল্লী স্বাস্থ্য কেন্দ্র)
2016,বরিশাল,ঝালকাঠি,ঝালকাঠি সদর,"সদর হাসপাতাল,ঝালকাঠী"
2011,বরিশাল,ঝালকাঠি,ঝালকাঠি সদর,বিনয়কাঠি ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
2012,বরিশাল,ঝালকাঠি,ঝালকাঠি সদর,গাবখান ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
2013,বরিশাল,ঝালকাঠি,ঝালকাঠি সদর,গাভারামচন্দ্রপুর ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
2018,বরিশাল,ঝালকাঠি,কান্থালিয়া,কাঁঠালিয়া উপজেলা স্বাস্থ্য কমপ্লেক্স
2017,বরিশাল,ঝালকাঠি,কান্থালিয়া,আউরাবুনিয়া ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
18909,বরিশাল,ঝালকাঠি,কান্থালিয়া,কাঠালিয়া ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
2019,বরিশাল,ঝালকাঠি,নালচিটি,"৫০ শয্যা   বিশিষ্ট    উপজেলা    স্বাস্থ্য    কমপ্লেক্স   , নলছিটি, ঝালকাঠী"
2020,বরিশাল,ঝালকাঠি,রাজাপুর,রাজাপুর উপজেলা স্বাস্থ্য কমপ্লেক্স
2024,বরিশাল,পটুয়াখালী,বাউফাল,বাউফল উপজেলা স্বাস্থ্য কমপ্লেক্স
2021,বরিশাল,পটুয়াখালী,বাউফাল,বাউফল(কনকদিয়া) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
2022,বরিশাল,পটুয়াখালী,বাউফাল,বগা ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
2023,বরিশাল,পটুয়াখালী,বাউফাল,কালিসুরি ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
2025,বরিশাল,পটুয়াখালী,ড্যাশমিনা,দশমিনা উপজেলা স্বাস্থ্য কমপ্লেক্স
2026,বরিশাল,পটুয়াখালী,দুমকি,"দুমকী উপজেলা স্বাস্থ্য কমপ্লেক্স, দুমকী, পটুয়াখালী"
2040,বরিশাল,পটুয়াখালী,দুমকি,লেবুখালী ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
2030,বরিশাল,পটুয়াখালী,গালাচিপা,"উপজেলা স্বাস্থ্য কমপ্লেক্স, গলাচিপা"
2027,বরিশাল,পটুয়াখালী,গালাচিপা,চালতিবুনিয়া ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
2028,বরিশাল,পটুয়াখালী,গালাচিপা,চরবিশ্বাস ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
2029,বরিশাল,পটুয়াখালী,গালাচিপা,কল্যাণ কলশ(খারিজামা) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
2031,বরিশাল,পটুয়াখালী,গালাচিপা,রতনদি তালতলি(উলানিয়া) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
2033,বরিশাল,পটুয়াখালী,কালাপাড়া,কলাপাড়া উপজেলা স্বাস্থ্য কমপ্লেক্স
2032,বরিশাল,পটুয়াখালী,কালাপাড়া,মহিপুর ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
2038,বরিশাল,পটুয়াখালী,মির্জাগঞ্জ,"কাঠালতলি ২০ শয্যা বিশিষ্ট হাসপাতাল, মির্জাগঞ্জ, পটুয়াখালী"
2039,বরিশাল,পটুয়াখালী,মির্জাগঞ্জ,মির্জাগঞ্জ উপজেলা স্বাস্থ্য কমপ্লেক্স
2035,বরিশাল,পটুয়াখালী,মির্জাগঞ্জ,চাল্তাইবুনিয়া(মাজিবাড়ীয়া) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
2036,বরিশাল,পটুয়াখালী,মির্জাগঞ্জ,চিতা (মাদবখালী) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
2037,বরিশাল,পটুয়াখালী,মির্জাগঞ্জ,মহিসকাটা(আমড়াগাছিয়া) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
18779,বরিশাল,পটুয়াখালী,পটুয়াখালী সদর,পটুয়াখালী মেডিকেল কলেজ
2042,বরিশাল,পটুয়াখালী,পটুয়াখালী সদর,পটুয়াখালী ২৫০ শয্যা বিশিষ্ট সদর হাসপাতাল
13007,বরিশাল,পটুয়াখালী,রাঙ্গাবালি,রাঙ্গাবালী উপজেলা স্বাস্থ্য কমপ্লেক্স
2046,বরিশাল,পিরোজপুর,ভান্ডারিয়া,ভান্ডারিয়া উপজেলা স্বাস্থ্য কমপ্লেক্স
23968,বরিশাল,পিরোজপুর,ভান্ডারিয়া,"ইউনিয়ন স্বাস্থ্য ও পরিবার কল্যান কেন্দ্র, ভিটাবাড়ীয়া, ভান্ডারিয়া, পিরোজপুর"
23983,বরিশাল,পিরোজপুর,ভান্ডারিয়া,"ইউনিয়ন স্বাস্থ্য ও পরিবার কল্যান কেন্দ্র, তেলিখালী, ভান্ডারিয়া, পিরোজপুর"
23993,বরিশাল,পিরোজপুর,ভান্ডারিয়া,"ইউনিয়ন স্বাস্থ্য ও পরিবার  কল্যান কেন্দ্র, ইকড়ী , ভান্ডারিয়া, পিরোজপুর"
23995,বরিশাল,পিরোজপুর,ভান্ডারিয়া,"ইউনিয়ন স্বাস্থ্য ও পরিবার কল্যান কেন্দ্র, ধাওয়া, ভান্ডারিয়া,  পিরোজপুর"
24004,বরিশাল,পিরোজপুর,ভান্ডারিয়া,"ইউনিয়ন স্বাস্থ্য ও পরিবার কল্যান  কেন্দ্র ;ভান্ডারিয়া; ভান্ডারিয়া, পিরোজপুর"
24082,বরিশাল,পিরোজপুর,ভান্ডারিয়া,"ইউনিয়ন স্বাস্থ্য ও পরিবার কল্যান ‍কেন্দ্র, গেীরীপুর , ভান্ডারিয়া  ,পিরোজপুর"
2045,বরিশাল,পিরোজপুর,ভান্ডারিয়া,ভান্ডারিয়া ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
2060,বরিশাল,পিরোজপুর,ইন্দুরকানি,ইন্দুরকানী উপজেলা স্বাস্থ্য কমপ্লেক্স
23837,বরিশাল,পিরোজপুর,ইন্দুরকানি,"ইউনিয়ন স্বাস্থ্য ও পরিবার কল্যান কেন্দ্র, পত্তাশী ,পিরোজপুর"
2047,বরিশাল,পিরোজপুর,কাউখালী,কাউখালী উপজেলা হেলথ কমপ্লেক্স
23943,বরিশাল,পিরোজপুর,কাউখালী,"ইউনিয়ন স্বাস্থ্য ও পরিবার  কল্যান কেন্দ্র,সয়নারঘুনাথপুর, কাউখালী, পিরোজপুর"
23950,বরিশাল,পিরোজপুর,কাউখালী,"ইউনিয়ন স্বাস্থ্য ও পরিবার কল্যান কেন্দ্র, আমরা জুড়ী কাউখালী, পিরোজপুর"
23955,বরিশাল,পিরোজপুর,কাউখালী,"ইউনিয়ন স্বাস্থ্য ও পরিবার কল্যান কেন্দ্র, চিরাপাড়া, কাউখালী , পিরোজপুর"
23967,বরিশাল,পিরোজপুর,কাউখালী,"ইউনিয়ন স্বাস্থ্য ও পরিবার কল্যান কেন্দ্র, শিয়ালকাঠী, কাউখালী, পিরোজপুর"
36018,বরিশাল,পিরোজপুর,মঠবাড়িয়া,"টিয়ারখালী 20 শষ্যাবিশিষ্ট হাসপাতাল, মঠবাড়ীয়া, পিরোজপুর।"
2049,বরিশাল,পিরোজপুর,মঠবাড়িয়া,মঠবাড়িয়া উপজেলা স্বাস্থ্য কমপ্লেক্স
2048,বরিশাল,পিরোজপুর,মঠবাড়িয়া,মিরুখালী ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
2050,বরিশাল,পিরোজপুর,মঠবাড়িয়া,তুষখালী ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
2052,বরিশাল,পিরোজপুর,নাজিরপুর,"উপজেলা স্বাস্থ্য কমপ্লেক্স, নাজিরপুর, পিরোজপুর।"
23813,বরিশাল,পিরোজপুর,নাজিরপুর,"ইউনিয়ন স্বাস্থ্য ও পরিবার কল্যান কেন্দ্র, পাড়েরহাট,নাজিরপুর,  পিরোজপুর"
23868,বরিশাল,পিরোজপুর,নাজিরপুর,"ইউনিয়ন স্বাস্থ্য ও পরিবার কল্যান কেন্দ্র, মালিখালী,নাজিরপুর, পিরোজপুর"
23887,বরিশাল,পিরোজপুর,নাজিরপুর,"ইউনিয়ন স্বাস্থ্য ও পরিবার  কল্যান কেন্দ্র, দীর্ঘা, নাজিরপুর, পিরোজপুর"
23897,বরিশাল,পিরোজপুর,নাজিরপুর,"ইউনিয়ন স্বাস্থ্য ও পরিবার কল্যান কেন্দ্র, দেউলবাড়ী দোবরা, নাজিরপুর, পিরোজপুর"
23898,বরিশাল,পিরোজপুর,নাজিরপুর,"ইউনিয়ন  স্বাস্থ্য ও পরিবার কল্যান কেন্দ্র, শেখমাটিয়া,নাজিরপুর, পিরোজপুর"
23937,বরিশাল,পিরোজপুর,নাজিরপুর,"ইউনিয়ন স্বাস্থ্য ও পরিবার কল্যান কেন্দ্র, শ্রীরামকাঠী, নাজিরপুর, পিরোজপুর"
2051,বরিশাল,পিরোজপুর,নাজিরপুর,"মাটিভাঙ্গা ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,  নাজিরপুর, পিরোজপুর।"
2054,বরিশাল,পিরোজপুর,নেসারাবাদ,নেছারাবাদ উপজেলা স্বাস্থ্য কমপ্লেক্স
2053,বরিশাল,পিরোজপুর,নেসারাবাদ,আটঘর কুড়িআনা ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
2055,বরিশাল,পিরোজপুর,নেসারাবাদ,সারসিনা(সরুপকাটি) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
2058,বরিশাল,পিরোজপুর,পিরোজপুর সদর,পিরোজপুর জেলা হাসপাতাল
23624,বরিশাল,পিরোজপুর,পিরোজপুর সদর,"ইউনিয়ন  সস্থ্য  ও  পরিবার কল্যান কেন্দ্র, কদমতলা, পিরোজপুর"
23631,বরিশাল,পিরোজপুর,পিরোজপুর সদর,"ইউনিয়ন  স্বাস্থ্য ও পরিবার কল্যান কেন্দ্র,দূর্গাপুর,পিরোজপুর"
23683,বরিশাল,পিরোজপুর,পিরোজপুর সদর,"ইউনিয়ন স্বাস্থ্য ও পরিবার কল্যান কেন্দ্র,কলাখালী, পিরোজপুর"
23694,বরিশাল,পিরোজপুর,পিরোজপুর সদর,"ইউনিয়ন স্বাস্থ্য ও পরিবার কল্যান কেন্দ্র, টোনা, পিরোজপুর"
23741,বরিশাল,পিরোজপুর,পিরোজপুর সদর,"ইউনিয়ন স্বাস্থ্য ও পরিবার কল্যান কেন্দ্র,শারিকতলা, পিরোজপুর"
23756,বরিশাল,পিরোজপুর,পিরোজপুর সদর,"ইউনিয়ন স্বাস্থ্য ও পরিবার কল্যান কেন্দ্র, শংকরপাশা, পিরোজপুর"
23765,বরিশাল,পিরোজপুর,পিরোজপুর সদর,"ইউনিয়ন স্বাস্থ্য ও পরিবার কল্যান কেন্দ্র, শরিকতলা, পিরোজপুর"
2059,বরিশাল,পিরোজপুর,পিরোজপুর সদর,পিরোজপুর বক্ষব্যাধি ক্লিনিক
647,চট্টগ্রাম,বান্দরবান,আলীকদম,আলীকদম উপজেলা স্বাস্থ্য কমপ্লেক্স
23675,চট্টগ্রাম,বান্দরবান,আলীকদম,"সদর ক্লিনিক,  আলীকদম, বান্দরবান"
650,চট্টগ্রাম,বান্দরবান,বান্দরবান সদর,বান্দরবান ২৫০ শয্যা জেলা হাসপাতাল
23474,চট্টগ্রাম,বান্দরবান,বান্দরবান সদর,মা ও শিশু কল্যান কেন্দ্র বান্দরবন সদর
23473,চট্টগ্রাম,বান্দরবান,বান্দরবান সদর,রাজভিলা ইউনিয়ন স্বাস্থ্য ও পরিবার কল্যান কেন্দ্র
23510,চট্টগ্রাম,বান্দরবান,বান্দরবান সদর,"ইউনিয়ন স্বাস্থ্য ও পরিবার কল্যান কেন্দ্র, কুহলং, বান্দরবান"
23518,চট্টগ্রাম,বান্দরবান,বান্দরবান সদর,"ইউনিয়ন স্বাস্থ্য ও পরিবার কল্যান কেন্দ্র, শুয়ালক, বান্দরবান"
23524,চট্টগ্রাম,বান্দরবান,বান্দরবান সদর,"ইউনিয়ন স্বাস্থ্য ও পরিবার কল্যান কেন্দ্র, টংকাবতী,  বান্দরবান"
651,চট্টগ্রাম,বান্দরবান,লামা,লামা উপজেলা স্বাস্থ্য কমপ্লেক্স
23617,চট্টগ্রাম,বান্দরবান,লামা,"সদর ক্লিনিক, সদর, লামা"
23612,চট্টগ্রাম,বান্দরবান,লামা,"ইউনিয়ন স্বাস্থ্য ও পরিবার কল্যান কেন্দ্র, গজালিয়া, লামা"
23629,চট্টগ্রাম,বান্দরবান,লামা,"ইউনিয়ন স্বাস্থ্য ও পরিবার কল্যান কেন্দ্র,  ফাঁশিয়াখালী, লামা"
23633,চট্টগ্রাম,বান্দরবান,লামা,"ইউনিয়ন স্বাস্থ্য ও পরিবার কল্যান কেন্দ্র,  আজিজনগর, লামা"
23636,চট্টগ্রাম,বান্দরবান,লামা,"ইউনিয়ন স্বাস্থ্য ও পরিবার কল্যান কেন্দ্র,  ফাইতং, লামা"
23638,চট্টগ্রাম,বান্দরবান,লামা,"ইউনিয়ন স্বাস্থ্য ও পরিবার কল্যান কেন্দ্র, সরই, লামা"
23640,চট্টগ্রাম,বান্দরবান,লামা,"ইউনিয়ন স্বাস্থ্য ও পরিবার কল্যান কেন্দ্র,  রূপসীপাড়া, লামা"
653,চট্টগ্রাম,বান্দরবান,নাইখোংছড়ি,নাইক্ষ্যংছড়ি উপজেলা স্বাস্থ্য কমপ্লেক্স
23649,চট্টগ্রাম,বান্দরবান,নাইখোংছড়ি,"ইউনিয়ন স্বাস্থ্য ও পরিবার কল্যান কেন্দ্র,  তমব্রু, নাইক্ষংছড়ি"
23653,চট্টগ্রাম,বান্দরবান,নাইখোংছড়ি,"ইউনিয়ন স্বাস্থ্য ও পরিবার কল্যান কেন্দ্র, দোছড়ি, নাইক্ষংছড়ি"
652,চট্টগ্রাম,বান্দরবান,নাইখোংছড়ি,বইশারি ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
654,চট্টগ্রাম,বান্দরবান,রোয়াংছড়ি,রোয়াংছড়ি উপজেলা স্বাস্থ্য কমপ্লেক্স
23679,চট্টগ্রাম,বান্দরবান,রোয়াংছড়ি,"সদর ক্লিনিক, রোয়াংছড়ি,  বান্দরবান"
23681,চট্টগ্রাম,বান্দরবান,রোয়াংছড়ি,"ইউনিয়ন স্বাস্থ্য ও পরিবার কল্যান কেন্দ্র, নোয়াপতং, রোয়াংছড়ি"
23684,চট্টগ্রাম,বান্দরবান,রোয়াংছড়ি,"ইউনিয়ন স্বাস্থ্য ও পরিবার কল্যান কেন্দ্র, তারাছা, রোয়াংছড়ি,"
655,চট্টগ্রাম,বান্দরবান,রুমা,রুমা উপজেলা স্বাস্থ্য কমপ্লেক্স
23726,চট্টগ্রাম,বান্দরবান,রুমা,"সদর ক্লিনিক, রুমা, বান্দরবান"
23729,চট্টগ্রাম,বান্দরবান,রুমা,"ইউনিয়ন স্বাস্থ্য ও পরিবার কল্যান কেন্দ্র, গ্যালেঙ্গা, রুমা"
23730,চট্টগ্রাম,বান্দরবান,রুমা,"ইউনিয়ন স্বাস্থ্য ও পরিবার কল্যান কেন্দ্র, পাইন্দু, রুমা"
656,চট্টগ্রাম,বান্দরবান,থানচি,থানচি উপজেলা স্বাস্থ্য কমপ্লেক্স
23748,চট্টগ্রাম,বান্দরবান,থানচি,"সদর ক্লিনিক, থানচী , বান্দরবান"
23751,চট্টগ্রাম,বান্দরবান,থানচি,"ইউনিয়ন স্বাস্থ্য ও পরিবার কল্যান কেন্দ্র, বলিপাড়া, থানচী , বান্দরবান"
658,চট্টগ্রাম,ব্রাহ্মণবাড়িয়া,আখাউড়া,আখাউড়া উপজেলা স্বাস্থ্য কমপ্লেক্স
657,চট্টগ্রাম,ব্রাহ্মণবাড়িয়া,আখাউড়া,মগড়া ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
659,চট্টগ্রাম,ব্রাহ্মণবাড়িয়া,আখাউড়া,রাণীঘর ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
660,চট্টগ্রাম,ব্রাহ্মণবাড়িয়া,আশুগঞ্জ,আশুগঞ্জ উপজেলা স্বাস্থ্য কমপ্লেক্স
664,চট্টগ্রাম,ব্রাহ্মণবাড়িয়া,আশুগঞ্জ,আশুগঞ্জ ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
690,চট্টগ্রাম,ব্রাহ্মণবাড়িয়া,আশুগঞ্জ,পানিশ্বর ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
662,চট্টগ্রাম,ব্রাহ্মণবাড়িয়া,বাঁছারামপুর,বাঞ্চারামপুর উপজেলা স্বাস্থ্য কমপ্লেক্স
661,চট্টগ্রাম,ব্রাহ্মণবাড়িয়া,বাঁছারামপুর,দরিকান্দি ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
663,চট্টগ্রাম,ব্রাহ্মণবাড়িয়া,বাঁছারামপুর,রুপাসদি ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
13008,চট্টগ্রাম,ব্রাহ্মণবাড়িয়া,বিজয়নগর,বিজয়নগর উপজেলা স্বাস্থ্য কমপ্লেক্স
666,চট্টগ্রাম,ব্রাহ্মণবাড়িয়া,বিজয়নগর,পত্তন ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র
667,চট্টগ্রাম,ব্রাহ্মণবাড়িয়া,ব্রাহ্মণবাড়িয়া সদর,"২৫০ শয্যা বিশিষ্ট জেনারেল হাসপাতাল, ব্রাহ্মণবাড়িয়া"
670,চট্টগ্রাম,ব্রাহ্মণবাড়িয়া,ব্রাহ্মণবাড়িয়া সদর,ব্রাক্ষ্মনবাড়ীয়া বক্ষব্যাধি হাসপাতাল
673,চট্টগ্রাম,ব্রাহ্মণবাড়িয়া,কাসবা,কসবা উপজেলা স্বাস্থ্য কমপ্লেক্স
